Vote Year;Council District;Category;Project Number;Title;Description;Address;Votes;Winner;Cost;BP Funding;Borough Code;Latitude;Longitude;Postcode;Community Board;Census Tract;BIN;BBL;NTA
2015;39;Parks & Recreation;10; New Drainage along Path in Prospect Park;Fix flooding along path near Dongan Oak Monument by excavating the area, reconstructing catch basins, and installing new drainage. This is a popular area for runners and pedestrians along East Drive.;B/w Battle Pass & the Zoo (Prospect Park);997;1;200,000;0;3;;;; ;;;;
2015;39;Culture and Community Facilities;2; Park Slope Library Storytellying Garden;Convert the branch's south lawn into an edible garden with raised beds & benches. In the sheltered hollow behind the building, construct a child-friendly micro-amphitheater for outdoor storytelling.;431 6th Ave. at 9th Street (Park Slope);936;0;250,000;0;3;;;; ;;;;
2015;39;Parks & Recreation;8; Windsor Terrace Stormwater Greenstreet;Inclusion of a greenstreet enhancement to a pedestrian refuge to capture stormwater, calm traffic, provide stewardship partnership opportunities (like with nearby PS 154), and beautify the area.;Prospect Park SW & 16th St (Windsor Terrace);832;0;80,000;0;3;;;; ;;;;
2015;39;Streets and Transportation;13; More Turnstiles at 7th Ave. F/G Station!;"Install approximately 6 low turnstiles at both the 7th Avenue entrance and the 8th Avenue entrance; move unused token booth from center of station to 7th Ave entrance. End the lines!";7th Avenue F/G Subway Station (Park Slope);768;0;200,000;0;3;;;; ;;;;
2015;39;Culture and Community Facilities;1; Art in the 4th Avenue F/G Subway Station;To accompany its recent renovation, this station will receive a new art installation (specific location TBD) to serve as a major landmark and a symbol of our neighborhoods' investment in the arts.;4th Ave. b/w 9th and 10th Sts. (Gowanus & Park Slope);725;0;325,000;0;3;;;; ;;;;
2015;39;Parks & Recreation;9; Kids Play Area at St. Mary's Playground;Funding to help add a kids play area to a planned park renovation. Soft, resilient surface will allow for safe play or small sports and absorb rainwater. Park is under the elevated tracks along Smith.;Smith St (Luquer-Huntington) (Gowanus & Carroll Gardens);640;0;250,000;0;3;;;; ;;;;
2015;39;Parks & Recreation;11; Water Service for Thomas Cuite Park;Restore water service to the water fountain in Thomas Cuite Park by excavating the street and replacing broken pipes. This local park has a playground and grassy area, located near the Prospect Expy.;11th Avenue and 19th Street (Windsor Terrace);453;0;350,000;0;3;;;; ;;;;
2015;44;Streets and Transportation;4; Street Repair and Resurfacing;Potholes, street caves, and ridges can cause major damage to both cars and pedestrians.These funds will go towards fixing the worst streets.;To Be Determined by the DOT (District Wide);1,555;1;200,000;0;3;;;; ;;;;
2015;44;Streets and Transportation;6; B11 Bus Time Signs - Real Time Passenger Information;Electronic signs will be installed along the B11 and B6 lines to inform passengers of the next bus' arrival.The Department of Transportation will install 10 signs along the B11 route.;To Be Determined by the DOT (District Wide);1,395;1;200,000;0;3;;;; ;;;;
2015;44;Streets and Transportation;5; Beautify Boro Park;Planting 100 new trees throughout Boro Park to beautify the neighborhood.;To Be Determined by the DOT (Borough Park);1,110;1;170,000;0;3;;;; ;;;;
2015;44;Culture and Community Facilities;12; New OHEL Headquarters;Funding for the new OHEL headquarters to be located on Avenue M. This will serve as the main campus for the well-respected charity and allow for expanded community services to families and residents.;E.14th St. and Avenue M (Midwood);1,040;1;500,000;0;3;;;; ;;;;
2015;47;Streets and Transportation;6; Coney Island Hospital Bus Stop Improvements;Funds will be used to reconfigure the bus stop at Coney Island Hospital to improve safety.;Ocean Parkway and Avenue Z (Gravesend);396;1;500,000;0;3;;;; ;;;;
2015;44;Schools;9; Support the Arts- Auditorium Upgrade at I.S. 96 The Seth Low School;Art programs are vital to the growth of a young mind. Refurbishing the auditorium at I.S. 96 will have a drastic impact on the school's productions and meetings.;99 Avenue P (Bensonhurst);398;0;75,000;0;3;40.60754;-73.984661;11204;11;430;3174076;3065950033;Bensonhurst East                                                           
2015;44;Culture and Community Facilities;14; New LED Lighting at Highlawn Library;Installing new lights to increase visibility and readership.;1664 W. 13th St. (Gravesend);387;0;150,000;0;3;40.605751;-73.985962;11223;11;404;3175253;3066180034;Bensonhurst East                                                           
2015;44;Parks & Recreation;3; Renovations to Samuel Goldberg Triangle;This triangle is an important green space in the neighborhood. With a large tree providing shade to the benches in this plaza, this site is a popular destination for senior citizens.;65th Street and Avenue 0 (Bensonhurst);310;0;150,000;0;3;;;; ;;;;
2015;44;Schools;8; Electrical Upgrade at P.S. 99;Upgrade the school's electrical system so it can support adequate lighting and necessary new technologies.;1120 E. 10th St. (Midwood);270;0;400,000;0;3;40.621565;-73.965595;11230;12;454;3171478;3065350011;Ocean Parkway South                                                        
2015;44;Schools;11; E-Tech Support at P.S. 192;Establish equal access to technology by upgrading and installing 20 new computers at the school.;4715 18th Ave. (Borough Park);223;0;90,000;0;3;40.629303;-73.979995;11204;12;476;3128909;3054450001;Borough Park                                                               
2015;44;Schools;7; E-Tech Support at P.S. 231;Establish equal access to technology by purchasing three laptop carts with 24 laptops each.;5601 16th Ave. #5 (Borough Park);189;0;195,000;0;3;40.627029;-73.989672;11204;12;470;3130809;3054920001;Borough Park                                                               
2015;45;Schools;6; A Room With a View;Improve experience for 534 youth & adults. Replace 50 year old seats, which are in poor condition, add seating for disabled and people in wheelchairs and replace curtains on the stage and windows.;4801 Avenue D (Public School in 45th District);654;1;342,000;0;3;40.642031;-73.931151;11203;17;840;3105680;3047690025;East Flatbush-Farragut                                                     
2015;45;Schools;7; Improve Our Restrooms;Repair 4 adult and 4 youth bathrooms. Repair these 8 spaces and move the radiators in the 4 youth bathrooms to make them less accessible to children. This will increase the safety of 468 children.;4801 Avenue D (Public School in 45th District);648;1;150,000;0;3;40.642031;-73.931151;11203;17;840;3105680;3047690025;East Flatbush-Farragut                                                     
2015;45;Schools;9; Computers for Job Readiness & Placement at HABNET;This Job Readiness and Job Placement Program will help reduce unemployment and underemployment in the 45th District for 20 neighbors at a time via these desktop computers.;1401 Flatbush Ave. Suite 203 (District Wide);481;1;36,025;0;3;40.636511;-73.951539;11210;14;788;3120877;3052280008;Flatbush                                                                   
2015;45;Streets and Transportation;2; Safe Neighborhood Streets;There is a safety concern on East 59th Street and Glenwood Road in the form of a damaged sidewalk. Help us to protect the humans and animals who travel down that street.;59th Street near Glenwood Road (Street near Glenwood Housing);457;1;40,000;0;3;;;; ;;;;
2015;45;Culture and Community Facilities;1; Technology & Media Space - Rugby Library;Technology space to be incorporated into the schematic of the youth section of the branch renovation plan. Includes computers, printer/3D printer, and wiring for technology.;1000 Utica Ave. (District Wide);453;1;35,000;0;3;40.648725;-73.930067;11203;17;860;3103730;3047210028;East Flatbush-Farragut                                                     
2015;45;Schools;8; Tech Upgrade - IS 285;Installing computers will address the lack of access to innovative learning resources at I.S. 285. Computers will be accessible to all students and benefit their learning experience.;5909 Beverley Rd. (Helps 813 6-8th grade students);362;1;35,000;0;3;40.646877;-73.920977;11203;17;936;3104599;3047440001;Rugby-Remsen Village                                                       
2015;45;Schools;5; Smart Boards for Smart Children;Install Smart Boards to the Kurt Hahn School in Tilden High School Campus to decrease the digital divide for 338 students and increase their chances for success.;5800 Tilden Ave. (Public School in 45th District);321;1;100,000;0;3;40.648657;-73.922171;11203;17;936;3104598;3047420001;Rugby-Remsen Village                                                       
2015;45;Schools;4; Can You Hear Me Now? - Part 1;Improve Safety for over 1,000 students in Tilden H.S. Campus by repairing the P.A. system in the school. Currently they have to share emergency information one room at a time.;5800 Tilden Ave. (Tilden H.S. Campus);261;0;500,000;0;3;40.648657;-73.922171;11203;17;936;3104598;3047420001;Rugby-Remsen Village                                                       
2016;15;Parks & Recreation;5;Brown Park East Physical Exercise Equipment;Construct physical exercise equipment in Bronx Park.;Between Waring Avenue and Rosewood Street;1,165;1;200,000;0;2;;;; ;;;;
2015;45;Schools;3; Upgrade My Workout;Upgrade the gym at Tilden High School Campus. Improve the gym that is used by 1,000 plus students and the staff that support them.;5800 Tilden Ave. (Tilden High School Campus);233;0;400,000;0;3;40.648657;-73.922171;11203;17;936;3104598;3047420001;Rugby-Remsen Village                                                       
2015;47;Culture and Community Facilities;2; Coney Island Library: Renovations;Money will be allocated to renovate the second floor of the Coney Island Library.;1901 Mermaid Ave. ;360;0;500,000;0;3;40.576502;-73.985993;11224;13;326;3189001;3070190043;Seagate-Coney Island                                                       
2015;47;Housing;7; Carey Gardens Fence Reconstruction;Funds will be used to reconstruct fences surrounding the playground and basketball courts at Carey Gardens.;2964 West 23rd St. ;348;0;400,000;0;3;40.574699;-73.989827;11224;13;326;3321840;3070560014;Seagate-Coney Island                                                       
2015;47;Streets and Transportation;3; Bensonhurst & Gravesend Street Repairs;Money will be allocated to resurface streets in the Bensonhurst and Gravesend area.; ;325;0;400,000;0;3;;;; ;;;;
2015;47;Parks & Recreation;9; Kaiser Park Skate Area;The construction of a new skate area in Kaiser Park.;Neptune Avenue (Coney Island);287;0;500,000;0;3;;;; ;;;;
2015;47;Streets and Transportation;5; Intersection safety improvements;Funds will be used to improve the safety of the intersection at 86th Street and 25th Avenue.;86th Street and 25th Avenue (Bensonhurst);258;0;500,000;0;3;;;; ;;;;
2015;47;Parks & Recreation;8; Scarangella Park Renovation;Reconstruct playground including play equipment, safety surface, pavement, fences, lighting, basketball court and landscaping.;West 13th Street and Avenue U (Bensonhurst);150;0;500,000;0;3;;;; ;;;;
2015;32N;Schools;1;Technology Upgrades at Local Schools;Technology upgrades at: P.S. 90 Horace Mann P.S. 97 Forest Park P.S. 66 Jacqueline Kennedy Onassis P.S. 306 NYC Academy for Discovery; ;465;1;300,000;0;4;;;; ;;;;
2015;32N;Culture and Community Facilities;8;Library Upgrades;Money to go toward full interior renovations at Richmond Hill Library and for technology and security upgrades at Ozone Park Library.; ;326;1;200,000;0;4;;;; ;;;;
2015;32N;Parks & Recreation;7;Emergency Call Boxes in Forest Park;Installation of Emergency Call Boxes throughout Forest Park to improve safety.; ;312;1;140,000;0;4;;;; ;;;;
2015;32N;Schools;2;Auditorium Upgrade;Full renovation of the auditorium at P.S. 64.;82-01 101st Ave. (Ozone Park);273;1;300,000;0;4;40.681172;-73.856918;11416;9;42;4188214;4090530014;Woodhaven                                                                  
2015;32N;Parks & Recreation;5;9/11 Memorial - Forest Park;Refurbishment of the 9/11 Memorial in Forest Park.; ;239;1;250,000;0;4;;;; ;;;;
2015;32N;Parks & Recreation;3;Equity Park Improvements;Creation of a green space within Equity Park to include grass area, trees, pathways and benches.; ;232;0;400,000;0;4;;;; ;;;;
2015;32N;Parks & Recreation;4;Forest Park Dog Park;Renovation of the Forest Park Dog Park with new fencing, signage and benches.; ;189;0;175,000;0;4;;;; ;;;;
2015;32N;Parks & Recreation;6;Lt. Clinton L. Whiting Square;Installation of new stone pavers, enhanced landscaping and benches.; ;91;0;240,000;0;4;;;; ;;;;
2015;32S;Schools;3;"Upgrades to our schools to include: P.S. 46 - Tech equipment ($50,000); P.S.317 - Electrical upgrades ($70,000); P.S. 114 - Media Center ($75,000); Beach Channel Campus - Mobile laboratory cart ($80,000); Scholars' Academy - Tech carts; ID swipe station ($70,000).";;;506;1;345,000;0;4;;;; ;;;;
2015;32S;Parks & Recreation;4;Remove asphalt in All-American park in Broad Channel to allow for creation of another baseball/softball field.;;;366;1;175,000;0;4;;;; ;;;;
2015;32S;Parks & Recreation;2;Improvements to 9/11 Tribute Park in Rockaway Park to include a decorative arch entry gate.;;;354;1;300,000;0;4;;;; ;;;;
2015;32S;Streets and Transportation;1;Repair center medians along Cross Bay Boulevard in Broad Channel, between 1st and 5th Roads;;;353;1;500,000;0;4;;;; ;;;;
2015;32S;Parks & Recreation;10;Adult exercise equipment installed along Shore Front Park way adjacent to new board walk in Rockaway Beach.;;;280;0;200,000;0;4;;;; ;;;;
2015;32S;Streets and Transportation;9;Repair center medians along Rockaway Beach Boulevard between Beach 102-105 Streets;;;278;0;200,000;0;4;;;; ;;;;
2015;32S;Parks & Recreation;6;Rock climbing wall constructed in Rockaway Beach adjacent to new boardwalk.;;;251;0;200,000;0;4;;;; ;;;;
2015;32S;Parks & Recreation;7;Pickleball courts;;;221;0;350,000;0;4;;;; ;;;;
2015;32S;Streets and Transportation;5;Bus countdown display clocks at 4-5 stops along the Q22 Bus route in Rockaway;;;208;0;100,000;0;4;;;; ;;;;
2015;32S;Streets and Transportation;8;Community Information boards with maps of local area, business and civic group information at (approx.) Beach 73, 86, 98, 108, 116, 129 Streets;;;190;0;200,000;0;4;;;; ;;;;
2016;3;Arts, Culture & Community;2;Cool Muhlenberg Library. Renovate HVAC System;Replace the building's HVAC cooling unit to ensure that the branch can continue to serve as a cool space in the summer months, which includes serving as an official NYC Cooling Center.;209 West 23rd Street;858;1;500,000;0;1;40.744355;-73.996229;10011;4;91;1014150;1007730038;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Education;7;A Green Roof for 75 Morton School;Build a green roof on the new middle school coming to 75 Morton Street. This would provide new physical and educational opportunities for students.;75 Morton Street;683;0;200,000;0;1;40.730999;-74.007191;10014;2;69;1010407;1006030049;West Village                                                               
2016;15;Parks & Recreation;9;Zimmerman Playground Basketball Court;Resurface basketball court in Zimmerman Playground.;Zimmerman Playground;902;0;500,000;0;2;;;; ;;;;
2016;3;Education;6;A New Library for City Knoll School;Technological and construction updates to create a library space at City Knoll School. This project will help engage students and prepare them for the skills needed in the 21st century.;425 West 33rd Street;686;1;300,000;0;1;40.753091;-73.99764;10001;4;103;1012851;1007310054;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Education;5;Bathroom Upgrade - Lab MS, Lab HS & Museum High;Phase 2 renovations will make needed repairs to bathrooms on upper floors, addressing health and hygiene concerns for the school community.;333 West 17th Street;700;0;560,000;0;1;40.742129;-74.002198;10011;4;83;1079152;1007410010;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Education;11;Gym Renovation - Lab M.S, Lab H.S.& Museum High;Gym improvements with exploration to build more communal space will address broken bleachers, difficult to operate scoreboard, flooring to support aerobic activity, and create more educational space.;333 West 17th Street;522;0;300,000;0;1;40.742129;-74.002198;10011;4;83;1079152;1007410010;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Education;3;New Audio / Visual System for P.S 11;A new Audio/Visual System in the auditorium of P.S. 11. The school needs a working A/V system to fulfill its curriculum requirements for students.;320 West 21st Street;813;1;75,000;0;1;40.744349;-74.000253;10011;4;89;1013260;1007440024;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Parks & Recreation;1;New Trees for Council District 3;Plant new trees and install tree guards on blocks with few or no trees throughout District 3.;District wide;1,083;1;100,000;0;1;;;; ;;;;
2016;3;Parks & Recreation;8;Grounds Renovation at Elliott-Chelsea Houses;Add new playground fencing, renovate walkways, and revitalize garden and grassy areas. Project would be designed to budget and priority areas would be determined in conjunction with the RA leadership.;425 West 25th Street;616;0;500,000;0;1;40.748178;-74.001339;10001;4;93;1083581;1007230015;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2016;3;Parks & Recreation;10;New Fitness Equipment for Chelsea Park;New fitness units, including safety surfacing, seating and drinking fountains replacement.;West 27th Street and 10th Avenue;535;0;180,000;0;1;;;; ;;;;
2016;3;Parks & Recreation;14;Renovation of Historic Field House;Restoration towards the Downing Street playground's historic field house and bathrooms to make them wheelchair accessible.;1 Downing Street;348;0;250,000;0;1;40.729684;-74.002601;10014;2;67;1000000;1005270080;West Village                                                               
2016;3;Parks & Recreation;13;Repair/Reopen Staircase at DeWitt Clinton Park;The southwest entrance staircase is crumbling and has been closed for years. Repairing this entrance will make the park accessible to visitors and easier for children to enter the park on 12th Ave.;West 52 Street and 11 Avenue;387;0;500,000;0;1;;;; ;;;;
2016;3;Parks & Recreation;9;Renovate the Basketball Court at Chelsea Park;The basketball court is a neighborhood favorite which needs to be improved for the safety and enjoyment of the community. This project would repave the court and install new rims.;West 27th Street and 10th Avenue;558;0;350,000;0;1;;;; ;;;;
2016;3;Parks & Recreation;12;Renovation at Gertrude Kelly Playground;Renovate the basketball court and adjacent sidewalk at Gertrude Kelly Playground;West 17th Street between 8th and 9th Avenues;467;0;350,000;0;1;;;; ;;;;
2016;3;Transit;15;More Turnstiles at C/E 50th Street Station;Install two additional turnstiles at the entrance/exit of the C/E 50th Street uptown platform. More turnstiles will ease congestion and reduce wait times for passengers at this entrance/exit.;C/E Subway Station at 50th Street and 8th Avenue;217;0;135,000;0;1;;;; ;;;;
2016;3;Transit;4;Real Time Rider Information at Bus Stops;Electronic Boards to display real time bus arrival information at five key bus stops, offering convenience for riders. The proposed locations will be subject to feasibility analysis by DOT.;District wide;790;1;100,000;0;1;;;; ;;;;
2016;5;Arts, Culture & Community;12;67th Street Library HVAC Improvements;Replacement or upgrade of the boiler to provide adequate heat.;328 East 67th Street (Upper East Side);292;0;600,000;0;1;40.765257;-73.959868;10065;8;118;1044749;1014410038;Lenox Hill-Roosevelt Island                                                
2016;8;Education;7;Water Fountain Upgrades: CPE II, P.S. 171 & P.S. 108;Water fountain upgrades for Central Park East II, P.S. 171 and P.S. 108;19 103rd Street (East Harlem);929;0;75,000;0;1;;;; ;;;;
2016;5;Arts, Culture & Community;9;Webster Library HVAC Improvement;Upgrade or replacement of air-conditioning system. This library is a designated NYC cooling center.;1465 York Avenue (Upper East Side);408;0;600,000;0;1;40.770485;-73.95111;10075;8;132;1045991;1014720028;Lenox Hill-Roosevelt Island                                                
2016;5;Education;2;Computer Carts for 10 Schools;32 computers per cart for: P.S. 77, P.S. 198, P.S. 290, P.S./I.S. 217, M. 225, Eleanor Roosevelt, Urban Academy, Vanguard, Manhattan International, and Life Sciences, serving over 5000 students.;NYC Schools (District wide);768;1;350,000;0;1;;;; ;;;;
2016;5;Education;10;HVAC for P.S. 198 and P.S. 77;Installing a split level air-conditioning system for the auditorium and cafeteria at P.S.198 and P.S.77.;1700 3rd Avenue (Upper East Side);389;0;350,000;0;1;40.784826;-73.949611;10128;8;15,801;1048492;1015240023;Upper East Side-Carnegie Hill                                              
2016;5;Education;6;Library Modernization for Eleanor Roosevelt H.S.;Create flexible learning space with access to computers, listening center, digital and print media, separate quiet and group spaces. Currently cannot support number of students and technology needs.;411 East 76th Street;479;0;350,000;0;1;40.770187;-73.953608;10021;8;132;1045949;1014710005;Lenox Hill-Roosevelt Island                                                
2016;5;Education;4;P.S. 290 Bathrooms;Replace toilets and sinks with age-appropriate fixtures and fittings. Remove unused urinals in boys bathrooms.;311 East 82nd Street;694;0;225,000;0;1;40.775078;-73.953096;10028;8;138;1049876;1015450005;Yorkville                                                                  
2016;5;Education;13;Renovate Auditorium for Eleanor Roosevelt H.S.;Extend stage and replace seating and flooring to improve view, increase capacity, and support gym activities. Replace antiquated control board, install acoustical panels and simplify lighting system.;411 East 76th Street;282;0;250,000;0;1;40.770187;-73.953608;10021;8;132;1045949;1014710005;Lenox Hill-Roosevelt Island                                                
2016;5;Education;1;Rooftop Greenhouse at P.S. 290;Construction of a greenhouse as part of the green roof project at PS290. The 800sf greenhouse will provide opportunities to enhance the school's STEAM curricula & create desperately needed play space.;311 East 82nd Street;802;1;500,000;0;1;40.775078;-73.953096;10028;8;138;1049876;1015450005;Yorkville                                                                  
2016;5;Education;14;Sound System at Julia Richman JREC Auditorium;This project will address the acoustical needs of the auditorium and update the sound system to correct the reverberation and an inability to hear and understand speakers.;317 East 67th Street (Upper East Side);104;0;85,000;0;1;40.765359;-73.960059;10065;8;118;1083343;1014420001;Lenox Hill-Roosevelt Island                                                
2016;5;Education;3;STEM Green Roof at P.S./I.S. 217;Finalize funding to build a STEM Green Roof atop P.S. /I.S. 217. Transform 6,750 square feet of unused P.S./I.S. 217 school roof into an outdoor learning hub for science, math, nutrition and the arts.;645 Main Street, Roosevelt Island;751;0;500,000;0;1;40.763894;-73.947916;10044;8;23,802;1084848;1013730001;Lenox Hill-Roosevelt Island                                                
2016;5;Housing;8;Lexington Houses Security Upgrade;Purchase and install layered security system to ensure residents' safety in light of growing issues and incidents and the rise in neighborhood homeless population, which has caused security problems.;East Lexington Avenue between 98-99 Streets;427;0;500,000;0;1;;;; ;;;;
2016;5;Parks & Recreation;5;Parks Greening;Install new and improve existing plantings - trees, shrubs, flowers and grass - around perimeters and entrances of John Jay Park.;John Jay Park;553;0;1,000,000;0;1;;;; ;;;;
2016;5;Parks & Recreation;7;Lexington Houses East & West Playground Renovation;Provide safety-compliant resurfacing and equipment for two community playgrounds, serving a large mix of resident families, with features that appeal to children from 6 months to 15 years old.;E. 98 St. between 3rd & Lex/ Lex & Park Aves.;466;0;700,000;0;1;;;; ;;;;
2016;5;Seniors;11;Center @ Lenox Hill Neighborhood House Entrance;Automatic doors for the Center @ Lenox Hill Neighborhood House to enable ease of access and egress for senior center members, Robbins Plaza senior residents, visitors and staff.;343 E 70 St, between 1st and 2nd Avenues;344;0;500,000;0;1;40.766686;-73.95739;10021;8;126;1044841;1014450023;Lenox Hill-Roosevelt Island                                                
2016;6;Education;6;Air Conditioning at the Performing Arts Library;Renovation of 40-year-old air conditioning system at the New York Public Library of Performing Arts to allow visitors to access the library during the warmer months comfortably.;40 Lincoln Center Plaza;751;0;350,000;0;1;;;; ;;;;
2016;6;Education;12;Auditorium Renovations and Upgrades at P.S. 166;Renovation of auditorium stage and installation of technological upgrades at the auditorium at P.S. 166.;132 West 89th Street;496;0;210,000;0;1;40.788865;-73.971847;10024;7;173;1032308;1012190047;Upper West Side                                                            
2016;6;Education;13;Courtyard Renovation at Brandeis Campus;Renovation of existing concrete courtyard, including new pavement and installation of tables, to serve the high schools located at the Brandeis Campus.;145 West 84th Street;459;0;300,000;0;1;40.785803;-73.974614;10024;7;169;1032128;1012150001;Upper West Side                                                            
2016;10;Parks & Recreation;2;Get Fit for Free;;;1,019;1;250,000;0;1;;;; ;;;;
2016;6;Education;4;Creation of Library Space at P.S. 191;Renovate an existing lounge space to create library space to be used by students and their families at P.S. 191.;210 West 61st Street;826;1;350,000;0;1;40.771925;-73.987328;10023;7;147;1030320;1011520029;Lincoln Square                                                             
2016;6;Education;1;Technology Upgrades at LaGuardia High School;Installation of SMART Boards, laptop carts, desktop computers, and a printing system for a department at LaGuardia High School.;100 Amsterdam Avenue;896;1;150,000;0;1;40.773629;-73.985273;10023;7;151;1030341;1011560030;Lincoln Square                                                             
2016;6;Education;14;Video Surveillance for P.S. 75 and M.S. 250;Installation of a video surveillance system to be used by the school security desk to help monitor the school's special needs population at P.S. 75 and M.S. 250.;735 West End Avenue;447;0;225,000;0;1;40.795157;-73.973292;10025;7;183;1034190;1012530065;Upper West Side                                                            
2016;6;Housing;7;Playground Renovation at Wise Towers;Renovate the playground at Wise Towers, adding modern developmental play equipment suitable for young children and beautifying the area. (New York City Housing Authority);124 West 91st Street;741;0;350,000;0;1;40.79024;-73.971221;10024;7;177;1077128;1012210007;Upper West Side                                                            
2016;6;Housing;8;Security Cameras for Amsterdam Addition;Installation and updates to security cameras at Amsterdam Addition. (New York City Housing Authority);240 West 65th Street;677;0;300,000;0;1;40.77484;-73.986493;10023;7;151;1030340;1011560020;Lincoln Square                                                             
2016;6;Parks & Recreation;10;Adult Fitness Equipment for Riverside Park;Installation of adult fitness equipment, including metal racks for sit-ups, pull-ups, push-ups, mats for stretching and exercise, and bars for stretching in Riverside Park.;Riverside Park;641;0;330,000;0;1;;;; ;;;;
2016;6;Parks & Recreation;2;Picnic Tables for Riverside Park;Purchase and installation of picnic tables made of recycled, durable material capable of withstanding heavy use, weather conditions and permanently secured against theft.;Riverside Park;834;1;65,000;0;1;;;; ;;;;
2016;15;Public Safety;1;NYPD Security Cameras;Install ten NYPD Security Cameras throughout District 15.;TBD;1,531;1;350,000;0;2;;;; ;;;;
2016;6;Parks & Recreation;11;Restoration of Joan of Arc Plaza;Repairs to steps and pathways leading to and from the Joan of Arc monument, including concrete steps, resurfacing blacktop, laying cobblestone and sealing masonry around the base of the statue.;Joan of Arc Park;540;0;300,000;0;1;;;; ;;;;
2016;6;Parks & Recreation;9;Restoration of Riverside Park Basketball Courts;Resurface and repair the existing basketball court to improve the recreation experience.;Riverside Park at West 101st Street;648;0;200,000;0;1;;;; ;;;;
2016;6;Parks & Recreation;5;Riverside Park Recreation and Activity Area;An activity and recreation area intended for tweens and younger adults, including facilities for a number of recreation activities.;Riverside Park at West 76th Street;773;1;250,000;0;1;;;; ;;;;
2016;6;Public Safety;3;UWS CERT Emergency Response and Education Vehicle;Purchase of a vehicle for UWS Community Emergency Response Team to store emergency and educational materials, and create pop-up preparedness events at street fairs, schools, and community gatherings.;Upper West Side;833;1;40,000;0;1;;;; ;;;;
2016;7;Arts, Culture & Community;2;George Bruce Library Renovations & Repairs;Time has wounded the site and certain physical complications have developed that should be immediately addressed. The facility needs a complete overhaul of the drainage system.;518 West 125th Street;622;0;1,000,000;0;1;40.813769;-73.956612;10027;9;211;1059688;1019800022;Morningside Heights                                                        
2016;7;Arts, Culture & Community;3;Save Hamilton Grange! Elevator Repair;Restoration to the exterior of the building and water damage within the building. Replacement of the inoperable boiler, the installation of new windows and a workable HVAC system are needed.;503 West 145th St.;468;1;400,000;0;1;40.825431;-73.948049;10031;9;229;1061938;1020770026;Hamilton Heights                                                           
2016;7;Education;17;Auditorium Audio Upgrade;Upgrade to audio system and acoustics in the Ralph Bunche Campus auditorium which is used by three public schools, the DOE administration and the Community.;425 West 123rd Street;267;0;125,000;0;1;40.810431;-73.955809;10027;9;20,901;1059526;1019640012;Morningside Heights                                                        
2016;7;Education;20;Electrical Upgrade to CSS;Upgrade electricity so that electrical equipment can be used in the classrooms in the Ralph Bunche Campus.;425 West 123rd Street;195;0;200,000;0;1;40.810431;-73.955809;10027;9;20,901;1059526;1019640012;Morningside Heights                                                        
2016;7;Education;11;Improve Technology for JHS 54 Booker T. Washington;Laptop cart for middle school students in J.H.S. 54 Booker T. Washintgon School.;103 West 107th Street;362;1;35,000;0;1;40.800119;-73.962837;10025;7;193;1055990;1018620011;Morningside Heights                                                        
2016;7;Education;10;Indoor Hydroponic Farm;Indoor Hydroponic Farm to be used by 200 elementary school children attending Columbia Secondary School. There is a possibility it will be used by other local public schools too.;425 West 123rd Street;364;0;250,000;0;1;40.810431;-73.955809;10027;9;20,901;1059526;1019640012;Morningside Heights                                                        
2016;10;Parks & Recreation;5;Keep it Cool A/C Installation;;;780;0;400,000;0;1;;;; ;;;;
2016;7;Education;8;P.S. 28 Wright Brothers Greenhouse Project;Greenhouse Project Classroom Conversion with New York Sun Works will improve environmental science education in urban schools through state of the art hydroponic greenhouse science labs.;475 West 155th Street;414;0;250,000;0;1;40.831227;-73.942143;10032;12;239;1076739;1021070026;Washington Heights South                                                   
2016;7;Education;16;Playground Upgrades;Playground upgrades (secure gating, security cameras) to the basketball court to service the students in Hamilton Grange Middle School.;500 West 138th Street;287;0;400,000;0;1;40.820953;-73.951145;10031;9;22,301;1084132;1019880166;Manhattanville                                                             
2016;7;Education;7;Science Lab Upgrades;Upgrade three existing science lab classrooms in Columbia Secondary School to align with NGSS standards that will enhance current STEM curriculum.;425 West 123rd Street;418;1;75,000;0;1;40.810431;-73.955809;10027;9;20,901;1059526;1019640012;Morningside Heights                                                        
2016;7;Education;21;Smart Boards;Installation of 5-10 smart boards at Hamilton Grange Middle School.;500 West 138th Street;184;0;75,000;0;1;40.820953;-73.951145;10031;9;22,301;1084132;1019880166;Manhattanville                                                             
2016;7;Education;14;Technology Lab Upgrades;Hamilton Grange Middle School will receive either one (1) laptop cart or 10-15 desktops.;500 West 138th Street;330;0;35,000;0;1;40.820953;-73.951145;10031;9;22,301;1084132;1019880166;Manhattanville                                                             
2016;7;Housing;19;Audubon Houses Playground Renovation;Renovation of recreational area for exercise, activity and relaxation.;Audubon Houses;223;0;500,000;0;1;;;; ;;;;
2016;7;Housing;15;Augment Exterior Security Cameras;Augment the current 16 cameras per building added in 2015 with additional cameras to provide full security outdoors.;Manhattanville Houses;318;0;500,000;0;1;;;; ;;;;
